layer_loc, layername, MSE, MAE, max_m, min_m, max_n, min_n,norm MSE, norm MAE, norm_max_m, norm_min_m, norm_max_n, norm_min_n 
0 ,input_1, 61973.75068425808, 243.8810653167517, 127.0, -128.0, 217.0, 14.0, 3.812302827835083, 1.9127928018569946, 0.0, -2.0, 0.7058823704719543, -0.8862745761871338
1 ,model/zero_padding2d/Pad/paddings, 4.5, 1.5, 0.0, 0.0, 3.0, 0.0, 4.5, 1.5, 0.0, 0.0, 3.0, 0.0
2 ,model/zero_padding2d_1/Pad/paddings, 0.5, 0.5, 0.0, 0.0, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 1.0, 0.0
3 ,model/avg_pool/Mean/reduction_indices, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0
4 ,model/conv1/conv/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
5 ,model/conv1/bn/FusedBatchNormV3, 59232801920.546875, 141104.265625, 123.0, -125.0, 1008952.0, -107599.0, 59232801920.546875, 141104.265625, 123.0, -125.0, 1008952.0, -107599.0
6 ,model/conv2_block1_0_bn/FusedBatchNormV31, 0.0, 0.0, 127.0, -128.0, 127.0, -128.0, 0.0, 0.0, 11.689180374145508, 0.0, 11.689180374145508, 0.0
7 ,model/conv2_block1_0_bn/FusedBatchNormV3, 0.0, 0.0, 127.0, -128.0, 127.0, -128.0, 0.0, 0.0, 0.004386941436678171, -1.1142830848693848, 0.004386941436678171, -1.1142830848693848
8 ,model/conv2_block1_1_conv/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
9 ,model/conv2_block1_1_bn/FusedBatchNormV3, 385718925.265625, 13805.96875, 126.0, -120.0, 116797.0, -51461.0, 385718925.265625, 13805.96875, 126.0, -120.0, 116797.0, -51461.0
10 ,model/conv2_block1_2_conv/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
11 ,model/conv5_block16_2_conv/Conv2D, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
12 ,model/conv5_block16_2_conv/Conv2D1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
13 ,model/conv5_block16_2_conv/Conv2D2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
14 ,model/conv5_block16_2_conv/Conv2D3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
15 ,model/conv5_block16_2_conv/Conv2D4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
16 ,model/conv5_block16_2_conv/Conv2D5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
17 ,model/conv5_block16_2_conv/Conv2D6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
18 ,model/conv5_block16_2_conv/Conv2D7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
19 ,model/conv5_block16_2_conv/Conv2D8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
20 ,model/conv5_block16_2_conv/Conv2D9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
21 ,model/conv5_block16_2_conv/Conv2D10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
22 ,model/conv5_block16_2_conv/Conv2D11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
23 ,model/conv5_block16_2_conv/Conv2D12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
24 ,model/conv5_block16_2_conv/Conv2D13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
25 ,model/conv5_block16_2_conv/Conv2D14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
26 ,model/conv5_block16_2_conv/Conv2D15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
27 ,model/conv5_block16_2_conv/Conv2D16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
