layer_loc, layername, MSE, MAE, max_m, min_m, max_n, min_n,norm MSE, norm MAE, norm_max_m, norm_min_m, norm_max_n, norm_min_n 
0 ,input_1, 62461.456579506805, 244.8049930909864, 127.0, -128.0, 218.0, 15.0, 3.8424723148345947, 1.9200812578201294, -0.007843309082090855, -2.007887125015259, 0.7058978080749512, -0.8862939476966858
1 ,model/block_13_pad/Pad/paddings, 0.25, 0.25, 0.0, 0.0, 1.0, 0.0, 0.25, 0.25, 0.0, 0.0, 1.0, 0.0
2 ,model/global_average_pooling2d/Mean/reduction_indices, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0
3 ,model/Conv1/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
4 ,model/bn_Conv1/FusedBatchNormV3, 5890723306636642.0, 27914950.8125, 120.0, -108.0, 11169717.0, -324197824.0, 5890723306636642.0, 27914950.8125, 120.0, -108.0, 11169717.0, -324197824.0
5 ,model/expanded_conv_depthwise_BN/FusedBatchNormV3;model/expanded_conv_depthwise/depthwise;model/block_5_project/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
6 ,model/expanded_conv_depthwise_BN/FusedBatchNormV3, 159847546.40625, 7590.90625, 98.0, -108.0, 35016.0, -43172.0, 159847546.40625, 7590.90625, 98.0, -108.0, 35016.0, -43172.0
7 ,model/expanded_conv_project/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
8 ,model/expanded_conv_project_BN/FusedBatchNormV3;model/expanded_conv_project/Conv2D, 252721469.5625, 12809.4375, 93.0, -77.0, 31973.0, -24807.0, 252721469.5625, 12809.4375, 93.0, -77.0, 31973.0, -24807.0
9 ,model/block_1_expand/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
10 ,model/block_1_expand_BN/FusedBatchNormV3, 73158498.21875, 5216.010416666667, 124.0, -107.0, 25218.0, -9949.0, 73158498.21875, 5216.010416666667, 124.0, -107.0, 25218.0, -9949.0
11 ,model/block_1_depthwise_BN/FusedBatchNormV3;model/block_1_depthwise/depthwise;model/block_12_project/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
12 ,model/block_1_depthwise_BN/FusedBatchNormV3, 1153996687.3333333, 19866.833333333332, 109.0, -127.0, 114254.0, -75778.0, 1153996687.3333333, 19866.833333333332, 109.0, -127.0, 114254.0, -75778.0
13 ,model/block_1_project/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
14 ,model/block_1_project_BN/FusedBatchNormV3;model/block_2_project/Conv2D;model/block_1_project/Conv2D, 418424628.2916667, 17489.291666666668, 94.0, -128.0, 40542.0, -31323.0, 418424628.2916667, 17489.291666666668, 94.0, -128.0, 40542.0, -31323.0
15 ,model/block_2_expand/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
16 ,model/block_2_expand_BN/FusedBatchNormV3, 306788680082.13196, 51624.32638888889, 127.0, -123.0, 68645.0, -6645528.0, 306788680082.13196, 51624.32638888889, 127.0, -123.0, 68645.0, -6645528.0
17 ,model/block_2_depthwise_BN/FusedBatchNormV3;model/block_2_depthwise/depthwise;model/block_3_depthwise/depthwise, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
18 ,model/block_2_depthwise_BN/FusedBatchNormV3, 141724173.61805555, 6289.715277777777, 123.0, -128.0, 69752.0, -7147.0, 141724173.61805555, 6289.715277777777, 123.0, -128.0, 69752.0, -7147.0
19 ,model/block_2_project/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
20 ,model/block_2_project_BN/FusedBatchNormV3;model/block_2_project/Conv2D, 1931938871.9583333, 35334.041666666664, 90.0, -126.0, 83395.0, -90124.0, 1931938871.9583333, 35334.041666666664, 90.0, -126.0, 83395.0, -90124.0
21 ,model/block_3_expand/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
22 ,model/block_3_expand_BN/FusedBatchNormV3, 28255051.541666668, 3209.7083333333335, 127.0, -124.0, 26727.0, -7519.0, 28255051.541666668, 3209.7083333333335, 127.0, -124.0, 26727.0, -7519.0
23 ,model/block_3_depthwise_BN/FusedBatchNormV3;model/block_3_depthwise/depthwise, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
24 ,model/block_3_depthwise_BN/FusedBatchNormV3, 1110034599.2777777, 19125.305555555555, 127.0, -113.0, 133654.0, -26228.0, 1110034599.2777777, 19125.305555555555, 127.0, -113.0, 133654.0, -26228.0
25 ,model/block_3_project/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
26 ,model/block_3_project_BN/FusedBatchNormV3;model/block_5_project/Conv2D;model/block_3_project/Conv2D, 887263313.0, 24880.9375, 90.0, -125.0, 45043.0, -65444.0, 887263313.0, 24880.9375, 90.0, -125.0, 45043.0, -65444.0
27 ,model/block_4_expand/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
28 ,model/block_4_expand_BN/FusedBatchNormV3, 178440522.953125, 9773.484375, 122.0, -124.0, 69617.0, -11862.0, 178440522.953125, 9773.484375, 122.0, -124.0, 69617.0, -11862.0
29 ,model/block_4_depthwise_BN/FusedBatchNormV3;model/block_4_depthwise/depthwise;model/block_6_depthwise/depthwise, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
30 ,model/block_4_depthwise_BN/FusedBatchNormV3, 69440010.21875, 4961.541666666667, 126.0, -125.0, 35063.0, -39384.0, 69440010.21875, 4961.541666666667, 126.0, -125.0, 35063.0, -39384.0
31 ,model/block_4_project/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
32 ,model/block_4_project_BN/FusedBatchNormV3;model/block_5_project/Conv2D;model/block_4_project/Conv2D, 589806574.625, 20768.75, 109.0, -128.0, 48983.0, -49487.0, 589806574.625, 20768.75, 109.0, -128.0, 48983.0, -49487.0
33 ,model/block_5_expand/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
