layer_loc, layername, MSE, MAE, max_m, min_m, max_n, min_n,norm MSE, norm MAE, norm_max_m, norm_min_m, norm_max_n, norm_min_n 
0 ,input_1, 61973.75068425808, 243.8810653167517, 127.0, -128.0, 217.0, 14.0, 3.812302827835083, 1.9127928018569946, 0.0, -2.0, 0.7058823704719543, -0.8862745761871338
1 ,model/expanded_conv/depthwise/pad/Pad/paddings, 0.25, 0.25, 0.0, 0.0, 1.0, 0.0, 0.25, 0.25, 0.0, 0.0, 1.0, 0.0
2 ,model/expanded_conv/squeeze_excite/AvgPool/Mean/reduction_indices, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0
3 ,model/expanded_conv_3/depthwise/pad/Pad/paddings, 1.25, 0.75, 0.0, 0.0, 2.0, 0.0, 1.25, 0.75, 0.0, 0.0, 2.0, 0.0
4 ,model/flatten/Const, 501000.5, 500.5, -1.0, -1.0, 1000.0, -1.0, 501000.5, 500.5, -1.0, -1.0, 1000.0, -1.0
5 ,model/Conv/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
6 ,model/Conv/BatchNorm/FusedBatchNormV3;model/expanded_conv/project/Conv2D;model/Conv/Conv2D, 75191546691.4375, 168199.9375, 87.0, -123.0, 702295.0, -54396.0, 75191546691.4375, 168199.9375, 87.0, -123.0, 702295.0, -54396.0
7 ,model/expanded_conv/depthwise/BatchNorm/FusedBatchNormV3;model/expanded_conv/depthwise/depthwise;model/expanded_conv/project/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
8 ,model/expanded_conv/depthwise/BatchNorm/FusedBatchNormV3, 153993560.8125, 5990.1875, 114.0, -121.0, 8756.0, -46261.0, 153993560.8125, 5990.1875, 114.0, -121.0, 8756.0, -46261.0
9 ,model/expanded_conv/squeeze_excite/Conv/Conv2D, 0.0, 0.0, 127.0, -70.0, 127.0, -70.0, 0.0, 0.0, 127.0, -70.0, 127.0, -70.0
10 ,model/expanded_conv/squeeze_excite/Conv/BiasAdd/ReadVariableOp/resource, 116301631212531.5, 6467473.25, 96.0, -102.0, 40540.0, -22601422.0, 116301631212531.5, 6467473.25, 96.0, -102.0, 40540.0, -22601422.0
11 ,model/expanded_conv/squeeze_excite/Conv_1/Conv2D, 0.0, 0.0, 127.0, 0.0, 127.0, 0.0, 0.0, 0.0, 127.0, 0.0, 127.0, 0.0
12 ,model/re_lu_2/Relu6;model/tf.__operators__.add_1/AddV2;model/expanded_conv/squeeze_excite/Conv_1/BiasAdd;model/expanded_conv/project/Conv2D;model/expanded_conv/squeeze_excite/Conv_1/Conv2D;model/expanded_conv/squeeze_excite/Conv_1/BiasAdd/ReadVariableOp/resource;model/tf.__operators__.add/y, 31974565021.1875, 160381.0625, 126.0, -110.0, 336913.0, 37590.0, 31974565021.1875, 160381.0625, 126.0, -110.0, 336913.0, 37590.0
13 ,model/tf.math.multiply/Mul/y, 0.0, 0.0, 127.0, 127.0, 127.0, 127.0, 0.0, 0.0, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204
14 ,model/expanded_conv/project/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
15 ,model/expanded_conv/project/BatchNorm/FusedBatchNormV3;model/expanded_conv/project/Conv2D, 16570143.3125, 3302.9375, 36.0, -85.0, 3975.0, -8385.0, 16570143.3125, 3302.9375, 36.0, -85.0, 3975.0, -8385.0
16 ,model/expanded_conv_1/expand/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
17 ,model/expanded_conv_1/expand/BatchNorm/FusedBatchNormV3, 44216577.23611111, 3706.5138888888887, 115.0, -117.0, 29636.0, -1059.0, 44216577.23611111, 3706.5138888888887, 115.0, -117.0, 29636.0, -1059.0
18 ,model/expanded_conv_1/depthwise/BatchNorm/FusedBatchNormV3;model/expanded_conv_1/depthwise/depthwise;model/expanded_conv_8/squeeze_excite/Conv/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
19 ,model/expanded_conv_1/depthwise/BatchNorm/FusedBatchNormV3, 18468487.916666668, 2261.777777777778, 113.0, -66.0, 12866.0, -12356.0, 18468487.916666668, 2261.777777777778, 113.0, -66.0, 12866.0, -12356.0
20 ,model/expanded_conv_1/project/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
21 ,model/expanded_conv_1/project/BatchNorm/FusedBatchNormV3;model/expanded_conv_3/squeeze_excite/Conv/Conv2D;model/expanded_conv_1/project/Conv2D, 98330419.54166667, 8247.708333333334, 126.0, -103.0, 19236.0, -20991.0, 98330419.54166667, 8247.708333333334, 126.0, -103.0, 19236.0, -20991.0
22 ,model/expanded_conv_2/expand/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
23 ,model/expanded_conv_2/expand/BatchNorm/FusedBatchNormV3, 65996114.09090909, 4067.409090909091, 126.0, -119.0, 40740.0, -3525.0, 65996114.09090909, 4067.409090909091, 126.0, -119.0, 40740.0, -3525.0
24 ,model/expanded_conv_2/depthwise/BatchNorm/FusedBatchNormV3;model/expanded_conv_2/depthwise/depthwise, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
25 ,model/expanded_conv_2/depthwise/BatchNorm/FusedBatchNormV3, 16378482.193181818, 1900.1704545454545, 126.0, -125.0, 27070.0, -3888.0, 16378482.193181818, 1900.1704545454545, 126.0, -125.0, 27070.0, -3888.0
26 ,model/expanded_conv_2/project/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
27 ,model/expanded_conv_2/project/BatchNorm/FusedBatchNormV3;model/expanded_conv_3/squeeze_excite/Conv/Conv2D;model/expanded_conv_2/project/Conv2D, 79909685.875, 7399.958333333333, 87.0, -120.0, 17800.0, -17744.0, 79909685.875, 7399.958333333333, 87.0, -120.0, 17800.0, -17744.0
