layer_loc, layername, MSE, MAE, max_m, min_m, max_n, min_n,norm MSE, norm MAE, norm_max_m, norm_min_m, norm_max_n, norm_min_n 
0 ,input_1, 4565.42327726781, 65.91236560260126, 127.0, -128.0, 0.7061138153076172, -0.8848273754119873, 3.827299222498215, 1.9164123395254535, 0.0, -2.0, 0.7061138153076172, -0.8848273754119873
1 ,model/expanded_conv/depthwise/pad/Pad/paddings, 0.25, 0.25, 0.0, 0.0, 1.0, 0.0, 0.25, 0.25, 0.0, 0.0, 1.0, 0.0
2 ,model/expanded_conv/squeeze_excite/AvgPool/Mean/reduction_indices, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0
3 ,model/expanded_conv_3/depthwise/pad/Pad/paddings, 1.25, 0.75, 0.0, 0.0, 2.0, 0.0, 1.25, 0.75, 0.0, 0.0, 2.0, 0.0
4 ,model/flatten/Const, 501000.5, 500.5, -1.0, -1.0, 1000.0, -1.0, 501000.5, 500.5, -1.0, -1.0, 1000.0, -1.0
5 ,model/Conv/Conv2D, 2703.2100591422954, 41.41038259682483, 127.0, -127.0, 2.1212730407714844, -1.9841444492340088, 2703.2100591422954, 41.41038259682483, 127.0, -127.0, 2.1212730407714844, -1.9841444492340088
6 ,model/Conv/BatchNorm/FusedBatchNormV3;model/expanded_conv/project/Conv2D;model/Conv/Conv2D, 2131.654181203796, 28.25813389569521, 87.0, -123.0, 14.643637657165527, -0.6305877566337585, 2131.654181203796, 28.25813389569521, 87.0, -123.0, 14.643637657165527, -0.6305877566337585
7 ,model/expanded_conv/depthwise/BatchNorm/FusedBatchNormV3;model/expanded_conv/depthwise/depthwise;model/expanded_conv/project/Conv2D, 4302.569969012773, 50.6645239187508, 127.0, -127.0, 47.30636215209961, -44.891117095947266, 4302.569969012773, 50.6645239187508, 127.0, -127.0, 47.30636215209961, -44.891117095947266
8 ,model/expanded_conv/depthwise/BatchNorm/FusedBatchNormV3, 2375.237223385219, 31.94847538881004, 114.0, -121.0, 17.317079544067383, -23.89501953125, 2375.237223385219, 31.94847538881004, 114.0, -121.0, 17.317079544067383, -23.89501953125
9 ,model/expanded_conv/squeeze_excite/Conv/Conv2D, 3758.117960093714, 45.03571641740109, 127.0, -70.0, 0.0945989340543747, -0.044838517904281616, 3758.117960093714, 45.03571641740109, 127.0, -70.0, 0.0945989340543747, -0.044838517904281616
