layer_loc, layername, MSE, MAE, max_m, min_m, max_n, min_n,norm MSE, norm MAE, norm_max_m, norm_min_m, norm_max_n, norm_min_n 
0 ,input_1, 35022.108701200836, 185.6721502546194, 0.7061138153076172, -0.8848273754119873, 217.0, 14.0, 2.051080151806402e-05, 0.003921425136958178, 0.7061138153076172, -0.8848273754119873, 0.7058823704719543, -0.8862745761871338
23 ,model/expanded_conv/depthwise/pad/Pad/paddings, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0
22 ,model/expanded_conv/squeeze_excite/AvgPool/Mean/reduction_indices, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0
19 ,model/expanded_conv_3/depthwise/pad/Pad/paddings, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0
11 ,model/flatten/Const, 0.0, 0.0, 1000.0, -1.0, 1000.0, -1.0, 0.0, 0.0, 1000.0, -1.0, 1000.0, -1.0
37 ,model/Conv/Conv2D, 2703.2100591422954, 41.41038259682483, 2.1212730407714844, -1.9841444492340088, 127.0, -127.0, 2703.2100591422954, 41.41038259682483, 2.1212730407714844, -1.9841444492340088, 127.0, -127.0
80 ,model/Conv/BatchNorm/FusedBatchNormV3;model/expanded_conv/project/Conv2D;model/Conv/Conv2D, 75186479234.61983, 168208.99851454794, 14.643637657165527, -0.6305877566337585, 702295.0, -54396.0, 75186479234.61983, 168208.99851454794, 14.643637657165527, -0.6305877566337585, 702295.0, -54396.0
81 ,model/expanded_conv/depthwise/BatchNorm/FusedBatchNormV3;model/expanded_conv/depthwise/depthwise;model/expanded_conv/project/Conv2D, 4302.569969012773, 50.6645239187508, 47.30636215209961, -44.891117095947266, 127.0, -127.0, 4302.569969012773, 50.6645239187508, 47.30636215209961, -44.891117095947266, 127.0, -127.0
24 ,model/expanded_conv/depthwise/BatchNorm/FusedBatchNormV3, 153943267.8025506, 5992.573454217985, 17.317079544067383, -23.89501953125, 8756.0, -46261.0, 153943267.8025506, 5992.573454217985, 17.317079544067383, -23.89501953125, 8756.0, -46261.0
38 ,model/expanded_conv/squeeze_excite/Conv/Conv2D, 3758.117960093714, 45.03571641740109, 0.0945989340543747, -0.044838517904281616, 127.0, -70.0, 3758.117960093714, 45.03571641740109, 0.0945989340543747, -0.044838517904281616, 127.0, -70.0
21 ,model/expanded_conv/squeeze_excite/Conv/BiasAdd/ReadVariableOp/resource, 116302295127263.81, 6467510.718812481, 2.9602344036102295, -2.2445404529571533, 40540.0, -22601422.0, 116302295127263.81, 6467510.718812481, 2.9602344036102295, -2.2445404529571533, 40540.0, -22601422.0
39 ,model/expanded_conv/squeeze_excite/Conv_1/Conv2D, 4648.114811556936, 45.65914588859778, 0.15177732706069946, -1.2449875547200918e-16, 127.0, 0.0, 4648.114811556936, 45.65914588859778, 0.15177732706069946, -1.2449875547200918e-16, 127.0, 0.0
2 ,model/re_lu_2/Relu6;model/tf.__operators__.add_1/AddV2;model/expanded_conv/squeeze_excite/Conv_1/BiasAdd;model/expanded_conv/project/Conv2D;model/expanded_conv/squeeze_excite/Conv_1/Conv2D;model/expanded_conv/squeeze_excite/Conv_1/BiasAdd/ReadVariableOp/resource;model/tf.__operators__.add/y, 31976304663.53725, 160384.30449, 5.162671089172363, 2.2162981033325195, 336913.0, 37590.0, 31976304663.53725, 160384.30449, 5.162671089172363, 2.2162981033325195, 336913.0, 37590.0
1 ,model/tf.math.multiply/Mul/y, 16086.694443184468, 126.83333332836628, 0.1666666716337204, 0.1666666716337204, 127.0, 127.0, 0.0, 0.0, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204
40 ,model/expanded_conv/project/Conv2D, 2119.0343390749395, 28.516468581690788, 2.4244861602783203, -2.279175043106079, 127.0, -127.0, 2119.0343390749395, 28.516468581690788, 2.4244861602783203, -2.279175043106079, 127.0, -127.0
82 ,model/expanded_conv/project/BatchNorm/FusedBatchNormV3;model/expanded_conv/project/Conv2D, 16361437.27962235, 3286.013460353017, 32.830078125, -52.153873443603516, 3975.0, -8385.0, 16361437.27962235, 3286.013460353017, 32.830078125, -52.153873443603516, 3975.0, -8385.0
41 ,model/expanded_conv_1/expand/Conv2D, 2693.2100133347226, 35.956517233596315, 0.7669366598129272, -0.756281852722168, 127.0, -127.0, 2693.2100133347226, 35.956517233596315, 0.7669366598129272, -0.756281852722168, 127.0, -127.0
26 ,model/expanded_conv_1/expand/BatchNorm/FusedBatchNormV3, 44137072.28268123, 3692.738172707471, 30.92569923400879, -5.52621603012085, 29636.0, -1059.0, 44137072.28268123, 3692.738172707471, 30.92569923400879, -5.52621603012085, 29636.0, -1059.0
83 ,model/expanded_conv_1/depthwise/BatchNorm/FusedBatchNormV3;model/expanded_conv_1/depthwise/depthwise;model/expanded_conv_8/squeeze_excite/Conv/Conv2D, 4789.624822145576, 54.81593088054381, 17.16277503967285, -13.469060897827148, 127.0, -127.0, 4789.624822145576, 54.81593088054381, 17.16277503967285, -13.469060897827148, 127.0, -127.0
25 ,model/expanded_conv_1/depthwise/BatchNorm/FusedBatchNormV3, 18466151.50038214, 2255.166638934804, 40.1435661315918, -55.09124755859375, 12866.0, -12356.0, 18466151.50038214, 2255.166638934804, 40.1435661315918, -55.09124755859375, 12866.0, -12356.0
42 ,model/expanded_conv_1/project/Conv2D, 1406.1211645065132, 24.76145298083889, 1.8015685081481934, -2.400787830352783, 127.0, -127.0, 1406.1211645065132, 24.76145298083889, 1.8015685081481934, -2.400787830352783, 127.0, -127.0
84 ,model/expanded_conv_1/project/BatchNorm/FusedBatchNormV3;model/expanded_conv_3/squeeze_excite/Conv/Conv2D;model/expanded_conv_1/project/Conv2D, 97711491.16534895, 8226.798914755384, 114.97142791748047, -67.59257507324219, 19236.0, -20991.0, 97711491.16534895, 8226.798914755384, 114.97142791748047, -67.59257507324219, 19236.0, -20991.0
43 ,model/expanded_conv_2/expand/Conv2D, 2066.0172391612996, 30.882011484110663, 0.937259316444397, -0.6078804135322571, 127.0, -127.0, 2066.0172391612996, 30.882011484110663, 0.937259316444397, -0.6078804135322571, 127.0, -127.0
29 ,model/expanded_conv_2/expand/BatchNorm/FusedBatchNormV3, 66048925.15534277, 4075.7781546032215, 9.12504768371582, -4.3695454597473145, 40740.0, -3525.0, 66048925.15534277, 4075.7781546032215, 9.12504768371582, -4.3695454597473145, 40740.0, -3525.0
85 ,model/expanded_conv_2/depthwise/BatchNorm/FusedBatchNormV3;model/expanded_conv_2/depthwise/depthwise, 3092.1211431070856, 38.22056832956356, 5.646361827850342, -12.257616996765137, 127.0, -127.0, 3092.1211431070856, 38.22056832956356, 5.646361827850342, -12.257616996765137, 127.0, -127.0
28 ,model/expanded_conv_2/depthwise/BatchNorm/FusedBatchNormV3, 16370933.223506296, 1896.2812298900574, 33.91312789916992, -27.421295166015625, 27070.0, -3888.0, 16370933.223506296, 1896.2812298900574, 33.91312789916992, -27.421295166015625, 27070.0, -3888.0
44 ,model/expanded_conv_2/project/Conv2D, 1344.5100541471352, 25.622945406971763, 1.9496042728424072, -2.3905136585235596, 127.0, -127.0, 1344.5100541471352, 25.622945406971763, 1.9496042728424072, -2.3905136585235596, 127.0, -127.0
86 ,model/expanded_conv_2/project/BatchNorm/FusedBatchNormV3;model/expanded_conv_3/squeeze_excite/Conv/Conv2D;model/expanded_conv_2/project/Conv2D, 79472506.18068226, 7382.722393726309, 28.242053985595703, -34.527435302734375, 17800.0, -17744.0, 79472506.18068226, 7382.722393726309, 28.242053985595703, -34.527435302734375, 17800.0, -17744.0
45 ,model/expanded_conv_3/expand/Conv2D, 1942.0781994138129, 29.34487588621968, 0.37560394406318665, -0.41383183002471924, 127.0, -127.0, 1942.0781994138129, 29.34487588621968, 0.37560394406318665, -0.41383183002471924, 127.0, -127.0
