layer_loc, layername, MSE, MAE, max_m, min_m, max_n, min_n,norm MSE, norm MAE, norm_max_m, norm_min_m, norm_max_n, norm_min_n 
0 ,input_4, 61973.75068425808, 243.8810653167517, 127.0, -128.0, 217.0, 14.0, 3.812302827835083, 1.9127928018569946, 0.0, -2.0, 0.7058823704719543, -0.8862745761871338
1 ,model_3/conv1_pad/Pad/paddings, 4.5, 1.5, 0.0, 0.0, 3.0, 0.0, 4.5, 1.5, 0.0, 0.0, 3.0, 0.0
2 ,model_3/conv2_block1_2_pad/Pad/paddings, 0.5, 0.5, 0.0, 0.0, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 1.0, 0.0
3 ,model_3/avg_pool/Mean/reduction_indices, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0
4 ,model_3/conv1_conv/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
5 ,model_3/conv1_conv/BiasAdd;model_3/conv2_block3_2_conv/Conv2D;model_3/conv1_conv/Conv2D;model_3/conv1_conv/BiasAdd/ReadVariableOp/resource, 7.203125, 1.671875, 3.0, -2.0, 11.0, -6.0, 7.203125, 1.671875, 3.0, -2.0, 11.0, -6.0
6 ,model_3/conv2_block1_preact_bn/FusedBatchNormV31, 0.0, 0.0, 127.0, -110.0, 127.0, -110.0, 0.0, 0.0, 19.618549346923828, 1.3848387002944946, 19.618549346923828, 1.3848387002944946
7 ,model_3/conv2_block1_preact_bn/FusedBatchNormV3, 0.0, 0.0, 127.0, -128.0, 127.0, -128.0, 0.0, 0.0, 11.37185287475586, -7.458163738250732, 11.37185287475586, -7.458163738250732
8 ,model_3/conv2_block1_0_conv/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
9 ,model_3/conv2_block1_0_conv/BiasAdd;model_3/conv4_block6_2_conv/Conv2D;model_3/conv2_block1_0_conv/Conv2D;model_3/conv2_block1_0_conv/BiasAdd/ReadVariableOp/resource, 0.00390625, 0.00390625, 0.0, 0.0, 0.0, -1.0, 0.00390625, 0.00390625, 0.0, 0.0, 0.0, -1.0
10 ,model_3/conv2_block1_1_conv/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
11 ,model_3/conv2_block1_1_bn/FusedBatchNormV3, 586818192.75, 18904.53125, 124.0, -101.0, 50242.0, -71165.0, 586818192.75, 18904.53125, 124.0, -101.0, 50242.0, -71165.0
